row_number,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,DistanceFromHome,RelationshipSatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,StockOptionLevel,TrainingTimesLastYear,JobLevel,Attrition,YearsAtCompany
665,Male,36,Married,Below College,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,6586,4821,1425,68,17,14,Low,High,High,Very High,Good,Excellent,0,17,8,4,11,Yes,1,2,2,No,16
666,Female,47,Single,Master,Life Sciences,Sales,Sales Representative,Travel_Rarely,3294,13137,1454,65,18,2,Low,Very High,Medium,Very High,Good,Excellent,1,3,2,1,2,Yes,0,3,1,No,3
667,Female,22,Married,Below College,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,4171,10022,617,34,19,3,Low,Medium,High,High,Best,Excellent,0,4,2,0,2,Yes,1,3,2,Yes,3
668,Female,41,Divorced,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2778,17725,1085,57,13,2,High,Medium,Low,Very High,Good,Excellent,4,10,7,1,0,Yes,1,1,1,Yes,7
669,Female,28,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2377,9834,995,77,18,9,Medium,High,High,High,Better,Excellent,5,6,2,2,2,No,1,2,1,No,2
670,Male,39,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2404,4303,1122,70,21,6,Very High,Very High,High,Low,Bad,Outstanding,7,8,2,2,2,Yes,0,2,1,Yes,2
671,Female,27,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2318,17808,618,76,19,4,High,Medium,High,High,Better,Excellent,1,1,1,0,0,No,0,2,1,No,1
672,Male,34,Divorced,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2008,6896,546,83,14,10,Medium,Medium,High,Medium,Better,Excellent,1,1,0,1,0,No,2,3,1,No,1
673,Female,42,Single,College,Medical,Sales,Sales Executive,Travel_Rarely,6244,7824,462,68,17,14,Low,High,Medium,High,Better,Excellent,7,10,4,0,3,No,0,6,2,No,5
674,Male,33,Single,Master,Other,Research & Development,Research Scientist,Travel_Rarely,2799,3339,1198,100,11,1,Medium,High,Medium,Low,Better,Excellent,3,6,2,0,2,Yes,0,1,1,No,3
675,Female,58,Divorced,Bachelor,Technical Degree,Research & Development,Healthcare Representative,Travel_Rarely,10552,9255,1272,37,13,5,Very High,High,Medium,Medium,Better,Excellent,2,24,0,0,4,Yes,1,3,3,No,6
676,Male,31,Married,Master,Life Sciences,Sales,Sales Representative,Travel_Rarely,2329,11737,154,41,15,7,Medium,Medium,Medium,High,Best,Excellent,3,13,7,5,2,No,0,2,1,No,7
677,Female,35,Married,Below College,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,4014,19170,1137,51,25,21,Very High,Very High,High,Very High,Bad,Outstanding,1,10,6,0,7,Yes,1,2,2,No,10
678,Female,49,Married,College,Other,Research & Development,Laboratory Technician,Travel_Rarely,7403,22477,527,51,11,8,High,Low,High,Medium,Good,Excellent,4,29,9,1,7,No,1,3,3,No,26
679,Male,48,Married,Master,Medical,Research & Development,Research Scientist,Travel_Rarely,2259,5543,1469,51,17,20,Low,Very High,High,High,Good,Excellent,4,13,0,0,0,No,2,2,1,No,0
680,Female,31,Married,College,Marketing,Sales,Sales Executive,Non-Travel,6932,24406,1188,45,13,20,Very High,Very High,High,High,Good,Excellent,1,9,8,0,0,No,1,2,2,No,9
681,Male,36,Single,Master,Other,Research & Development,Research Scientist,Travel_Rarely,4678,23293,188,65,18,7,High,Medium,High,Very High,Better,Excellent,2,8,2,0,1,No,0,6,1,No,6
682,Female,38,Married,Bachelor,Technical Degree,Research & Development,Research Director,Travel_Rarely,13582,16292,1333,80,13,1,Medium,Very High,High,Low,Better,Excellent,1,15,12,5,11,No,1,3,3,No,15
683,Female,32,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,2332,3974,1184,70,20,1,High,High,Medium,Medium,Better,Outstanding,6,5,0,0,2,No,0,3,1,No,3
684,Male,25,Married,College,Marketing,Sales,Sales Representative,Travel_Rarely,2413,18798,867,36,18,19,High,High,Medium,Medium,Better,Excellent,1,1,0,0,0,Yes,3,2,1,Yes,1
685,Male,40,Divorced,Master,Marketing,Sales,Sales Executive,Travel_Rarely,9705,20652,658,67,12,10,Medium,Low,Medium,Medium,Good,Excellent,2,11,0,0,0,No,1,2,3,No,1
686,Male,26,Single,Bachelor,Medical,Sales,Sales Executive,Travel_Frequently,4294,11148,1283,52,12,1,Medium,High,Medium,Low,Better,Excellent,1,7,7,0,7,No,0,2,2,No,7
687,Male,41,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,4721,3119,263,59,13,6,High,Very High,High,Low,Better,Excellent,2,20,13,2,17,Yes,0,3,1,No,18
688,Male,36,Single,Master,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2519,12287,938,79,21,2,High,High,High,High,Better,Outstanding,4,16,8,3,9,No,0,6,1,No,11
689,Male,19,Single,Bachelor,Other,Sales,Sales Representative,Travel_Rarely,2121,9947,419,37,13,21,Medium,Very High,Medium,Medium,Best,Excellent,1,1,0,0,0,Yes,0,3,1,Yes,1
690,Male,20,Single,Bachelor,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,2973,13008,129,84,19,4,Medium,Low,High,Low,Better,Excellent,1,1,0,0,0,No,0,2,1,Yes,1
691,Female,31,Married,Bachelor,Medical,Research & Development,Healthcare Representative,Travel_Rarely,5855,17369,616,41,11,12,High,Very High,High,Very High,Bad,Excellent,0,10,7,8,5,Yes,2,2,2,No,9
692,Male,40,Divorced,Master,Medical,Research & Development,Research Scientist,Travel_Frequently,3617,25063,1469,35,14,9,Very High,Very High,High,Medium,Better,Excellent,8,3,1,0,0,Yes,1,2,1,No,1
693,Female,32,Married,Master,Medical,Research & Development,Manufacturing Director,Travel_Rarely,6725,13554,498,93,12,3,High,High,High,Low,Best,Excellent,1,8,7,6,3,No,1,2,2,No,8
694,Male,36,Married,Below College,Life Sciences,Sales,Sales Executive,Travel_Rarely,10325,5518,530,51,11,3,Low,High,Medium,Very High,Better,Excellent,1,16,7,3,7,Yes,1,6,3,Yes,16
695,Female,33,Single,Bachelor,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,6949,12291,1069,42,14,1,Low,Medium,Medium,Very High,Better,Excellent,0,6,0,1,4,No,0,3,2,No,5
696,Male,37,Married,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,10609,14922,625,46,11,1,High,Low,Medium,High,Bad,Excellent,5,17,1,11,7,No,0,2,3,Yes,14
697,Male,45,Married,College,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,4447,23163,805,57,12,4,Medium,High,High,Medium,Good,Excellent,1,9,7,0,8,No,0,5,2,No,9
698,Female,29,Married,Bachelor,Technical Degree,Sales,Sales Representative,Travel_Frequently,2157,18203,1404,84,15,20,Medium,High,High,Very High,Better,Excellent,1,3,1,0,2,No,1,5,1,No,3
699,Female,35,Married,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,4601,6179,1219,86,16,18,Medium,High,High,High,Better,Excellent,1,5,2,1,0,No,0,3,2,No,5
700,Male,52,Married,College,Life Sciences,Research & Development,Manager,Travel_Rarely,17099,13829,1053,70,15,1,Medium,Very High,High,Very High,Good,Excellent,2,26,8,7,8,No,1,2,4,No,9
701,Male,58,Single,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,2479,26227,289,51,24,2,Low,Very High,High,High,Better,Outstanding,4,7,0,0,0,No,0,4,1,Yes,1
702,Male,53,Divorced,College,Medical,Sales,Manager,Travel_Rarely,14852,13938,1376,45,13,2,High,High,High,High,Best,Excellent,6,22,13,15,2,No,1,3,4,No,17
703,Male,30,Divorced,College,Other,Sales,Sales Executive,Travel_Rarely,7264,9977,231,62,11,8,Low,High,High,High,Best,Excellent,5,10,4,7,7,No,1,2,3,No,8
704,Female,38,Single,Bachelor,Technical Degree,Sales,Sales Executive,Non-Travel,5666,19899,152,85,13,10,Medium,High,High,Very High,Better,Excellent,1,6,3,1,3,Yes,0,1,2,No,5
705,Male,35,Divorced,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,7823,6812,882,92,13,3,Medium,Very High,High,Very High,Better,Excellent,6,12,9,0,8,No,1,2,3,No,10
706,Male,39,Single,Doctor,Life Sciences,Sales,Sales Executive,Travel_Rarely,7880,2560,903,41,18,2,Very High,Low,Very High,High,Better,Excellent,0,9,7,0,7,No,0,3,3,No,8
707,Female,40,Single,Bachelor,Life Sciences,Sales,Sales Executive,Non-Travel,13194,17071,1479,100,16,24,Very High,Medium,Very High,Medium,Good,Excellent,4,22,0,0,0,Yes,0,2,4,Yes,1
708,Male,47,Divorced,Master,Medical,Research & Development,Manufacturing Director,Travel_Frequently,5067,6759,1379,64,19,16,High,High,Very High,High,Best,Excellent,1,20,10,2,7,Yes,0,3,2,No,19
709,Male,36,Divorced,Master,Technical Degree,Sales,Sales Executive,Non-Travel,5079,25952,1229,84,13,8,Very High,Low,High,Very High,Better,Excellent,4,12,7,0,7,No,2,3,2,No,7
710,Male,31,Single,College,Medical,Research & Development,Research Scientist,Non-Travel,2321,10322,335,46,22,9,Low,High,Medium,Low,Better,Outstanding,0,4,2,1,2,Yes,0,0,1,Yes,3
711,Male,33,Single,Bachelor,Life Sciences,Sales,Manager,Non-Travel,17444,20489,722,38,11,17,Very High,Very High,High,High,Better,Excellent,1,10,8,6,0,No,0,2,4,No,10
712,Female,29,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2404,11479,906,92,20,10,High,Very High,Medium,Low,Better,Outstanding,6,3,0,0,0,Yes,0,5,1,Yes,0
713,Female,33,Single,Below College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3452,17241,461,53,18,13,Low,Medium,High,Very High,Better,Excellent,3,5,2,0,2,No,0,4,1,No,3
714,Female,45,Divorced,Master,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2270,11005,974,91,14,1,Very High,Very High,High,Very High,Better,Excellent,3,8,3,0,2,No,2,2,1,No,5
715,Male,50,Divorced,College,Medical,Research & Development,Research Director,Travel_Rarely,17399,6615,1126,66,22,1,High,Very High,High,Very High,Good,Outstanding,9,32,4,1,3,No,1,1,4,No,5
716,Female,33,Married,Master,Other,Research & Development,Healthcare Representative,Travel_Frequently,5488,20161,827,84,13,1,Low,High,Very High,Medium,Better,Excellent,1,6,5,1,2,Yes,1,2,2,No,6
717,Male,41,Divorced,Bachelor,Medical,Research & Development,Research Director,Travel_Frequently,19419,3735,840,64,17,9,Medium,Low,High,High,Best,Excellent,2,21,16,0,11,No,1,2,5,No,18
718,Female,27,Married,Master,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,2811,12086,1134,37,14,16,Medium,High,High,Medium,Better,Excellent,9,4,2,2,2,No,1,2,1,No,2
719,Male,45,Married,College,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,3633,14039,248,42,15,23,High,Very High,High,Low,Better,Excellent,1,9,8,0,8,Yes,1,2,2,No,9
720,Female,47,Single,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,4163,8571,955,83,17,4,High,Very High,High,Very High,Better,Excellent,1,9,0,0,7,Yes,0,0,2,No,9
721,Female,30,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2132,11539,138,48,11,22,Medium,Low,High,High,Better,Excellent,4,7,2,0,1,Yes,0,2,1,Yes,5
722,Male,50,Married,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,13973,4161,939,95,18,24,Very High,Very High,High,High,Better,Excellent,3,22,11,1,5,Yes,1,2,4,No,12
723,Male,38,Married,Below College,Medical,Research & Development,Research Scientist,Travel_Frequently,2684,12127,1391,66,17,10,Medium,High,High,High,Good,Excellent,0,3,1,0,2,No,1,0,1,No,2
724,Male,46,Divorced,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,10845,24208,566,75,13,7,Medium,Very High,High,High,Better,Excellent,6,13,7,0,7,No,1,3,3,No,8
725,Female,24,Divorced,Below College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,4377,24117,1206,41,15,17,Medium,Very High,Medium,High,Better,Excellent,1,5,2,3,2,No,2,6,2,No,4
726,Male,35,Divorced,Master,Other,Research & Development,Laboratory Technician,Travel_Rarely,3743,10074,622,39,24,14,Very High,High,Medium,Medium,Bad,Outstanding,1,5,2,0,2,Yes,1,2,1,Yes,4
727,Female,31,Married,Below College,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,4148,11275,853,96,12,1,High,High,High,Low,Better,Excellent,1,4,3,0,3,No,1,1,2,No,4
728,Male,18,Single,College,Life Sciences,Research & Development,Research Scientist,Non-Travel,1051,13493,287,73,15,5,Very High,Medium,High,Very High,Better,Excellent,1,0,0,0,0,No,0,2,1,No,0
729,Female,54,Married,Bachelor,Technical Degree,Research & Development,Manufacturing Director,Travel_Rarely,10739,13943,1441,56,11,17,High,High,High,High,Better,Excellent,8,22,7,0,8,No,1,2,3,No,10
730,Female,35,Divorced,Master,Medical,Research & Development,Healthcare Representative,Travel_Rarely,10388,6975,583,57,11,25,High,High,High,High,Good,Excellent,1,16,10,10,1,Yes,1,3,3,No,16
731,Female,30,Married,College,Life Sciences,Research & Development,Research Director,Travel_Rarely,11416,17802,153,73,12,8,High,Medium,Very High,Low,Good,Excellent,0,9,7,1,7,Yes,3,4,3,No,8
732,Female,20,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2600,18275,1097,98,15,11,Low,Very High,Medium,Low,Better,Excellent,1,1,0,0,0,Yes,0,2,1,Yes,1
733,Female,30,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Frequently,2422,25725,109,60,17,5,Low,Medium,High,Medium,Better,Excellent,0,4,2,1,2,No,0,3,1,Yes,3
734,Male,26,Married,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,5472,3334,1066,32,12,2,Medium,Very High,Very High,Very High,Better,Excellent,1,8,7,1,3,No,0,2,2,No,8
735,Male,22,Married,Below College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2451,6881,217,94,15,8,Low,Medium,Low,Low,Good,Excellent,1,4,3,1,1,No,1,3,1,No,4
736,Male,48,Single,Bachelor,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,4240,13119,277,97,13,6,Very High,Low,Medium,High,Better,Excellent,2,19,2,2,2,No,0,0,2,No,2
737,Male,48,Single,Master,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,10999,22245,1355,78,14,4,Medium,High,Medium,High,Better,Excellent,7,27,11,4,8,No,0,3,3,No,15
738,Female,41,Single,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,5003,23371,549,42,14,7,Medium,Very High,High,High,Better,Excellent,6,8,2,2,1,No,0,6,2,No,2
739,Female,39,Married,Below College,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,12742,7060,466,65,16,1,High,Very High,Medium,Very High,Better,Excellent,1,21,6,11,8,No,1,3,4,No,21
740,Female,27,Married,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,4227,4658,1055,47,18,2,Medium,Low,High,Very High,Better,Excellent,0,4,2,2,2,No,1,2,2,No,3
741,Male,35,Divorced,Bachelor,Other,Research & Development,Laboratory Technician,Travel_Rarely,3917,9541,802,45,20,10,Low,Medium,High,Very High,Good,Outstanding,1,3,2,1,2,No,1,4,1,No,3
742,Male,42,Married,College,Marketing,Sales,Manager,Travel_Rarely,18303,7770,265,90,13,5,Medium,Very High,High,High,Best,Excellent,6,21,0,0,0,No,0,3,5,No,1
743,Male,50,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2380,20165,804,64,18,9,Medium,Low,High,Very High,Better,Excellent,4,8,0,0,0,No,0,5,1,No,1
744,Female,59,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,13726,21829,715,69,13,2,Low,High,Medium,Very High,Better,Excellent,3,30,3,4,3,Yes,0,4,4,No,5
745,Female,37,Married,College,Medical,Research & Development,Healthcare Representative,Travel_Rarely,4777,14382,1141,61,15,11,Low,Low,Low,Medium,Bad,Excellent,5,15,0,0,0,No,0,2,2,Yes,1
746,Male,55,Married,Master,Medical,Research & Development,Healthcare Representative,Travel_Frequently,6385,12992,135,62,14,18,Very High,High,High,Medium,Better,Excellent,3,17,7,6,7,Yes,2,3,2,No,8
747,Female,41,Divorced,Below College,Life Sciences,Research & Development,Research Director,Non-Travel,19973,20284,247,55,22,7,Medium,Medium,Low,High,Better,Outstanding,1,21,16,5,10,No,2,3,5,No,21
748,Male,38,Single,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,6861,4981,1035,42,12,3,High,Medium,High,Very High,Better,Excellent,8,19,0,0,0,Yes,0,1,2,No,1
749,Male,26,Single,College,Medical,Sales,Sales Executive,Non-Travel,4969,21813,265,79,18,29,Very High,Medium,Low,Low,Better,Excellent,8,7,2,2,2,No,0,6,2,Yes,2
750,Female,52,Married,Below College,Marketing,Sales,Manager,Travel_Rarely,19845,25846,266,57,15,2,Very High,Low,Low,Very High,Better,Excellent,1,33,14,6,9,No,1,3,5,Yes,32
751,Female,44,Married,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,13320,11737,1448,53,18,28,High,Very High,Very High,Very High,Better,Excellent,3,23,11,11,11,Yes,1,2,4,No,12
752,Female,50,Married,Bachelor,Life Sciences,Sales,Sales Executive,Non-Travel,6347,24920,145,95,12,1,Low,Very High,High,High,Better,Excellent,0,19,7,0,13,No,1,3,2,No,18
753,Female,36,Single,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2743,8269,885,43,16,16,High,High,Very High,Low,Better,Excellent,1,18,13,15,14,No,0,1,1,Yes,17
754,Female,39,Single,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Frequently,10880,5083,945,82,13,22,High,Very High,High,Low,Better,Excellent,1,21,6,2,8,Yes,0,2,3,No,21
755,Female,33,Single,Below College,Life Sciences,Sales,Sales Representative,Non-Travel,2342,21437,1038,88,19,8,Very High,Medium,Medium,Very High,Good,Excellent,0,3,2,2,2,No,0,2,1,No,2
756,Female,45,Married,College,Life Sciences,Sales,Manager,Travel_Rarely,17650,5404,1234,90,13,11,Medium,Very High,High,Very High,Best,Excellent,3,26,3,1,1,No,1,4,4,No,9
757,Female,32,Single,Master,Medical,Research & Development,Laboratory Technician,Non-Travel,4025,11135,1109,69,12,29,Medium,Very High,High,High,Better,Excellent,9,10,7,7,7,No,0,2,1,No,8
758,Male,34,Divorced,Master,Marketing,Sales,Sales Executive,Travel_Rarely,9725,12278,216,75,11,1,Very High,Medium,Very High,Very High,Good,Excellent,0,16,1,0,9,No,1,2,2,No,15
759,Male,59,Married,College,Technical Degree,Sales,Manager,Travel_Rarely,11904,11038,1089,66,14,1,High,Medium,High,Very High,Bad,Excellent,3,14,4,0,4,Yes,1,1,3,No,6
760,Male,45,Single,Master,Medical,Human Resources,Human Resources,Travel_Rarely,2177,8318,788,36,16,24,Low,Medium,High,Medium,Better,Excellent,1,6,3,0,4,No,0,3,1,No,6
761,Female,53,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Frequently,7525,23537,124,38,12,2,Low,High,Medium,Medium,Better,Excellent,2,30,7,6,12,No,1,2,3,No,15
762,Male,36,Divorced,Bachelor,Other,Research & Development,Laboratory Technician,Travel_Rarely,4834,7858,660,81,14,15,Medium,Low,High,High,Good,Excellent,7,9,0,0,0,No,1,3,2,Yes,1
763,Male,26,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,2042,15346,342,57,14,2,Medium,Low,High,Low,Better,Excellent,6,6,2,1,2,Yes,1,2,1,Yes,3
764,Female,34,Married,Master,Life Sciences,Sales,Sales Representative,Travel_Rarely,2220,18410,1333,87,19,10,Very High,High,High,High,Better,Excellent,1,1,1,0,0,Yes,1,2,1,No,1
765,Male,28,Married,Below College,Medical,Sales,Sales Representative,Travel_Rarely,1052,23384,1144,74,22,10,Medium,Very High,High,Medium,Better,Outstanding,1,1,0,0,0,No,0,5,1,No,1
766,Male,38,Married,Master,Other,Research & Development,Research Scientist,Travel_Frequently,2821,2997,1186,44,16,3,Low,High,High,High,Better,Excellent,3,8,2,2,2,No,1,2,1,No,2
767,Male,50,Married,Master,Medical,Research & Development,Research Director,Travel_Rarely,19237,12853,1464,62,11,2,Very High,Medium,High,High,Good,Excellent,2,29,1,7,7,Yes,1,2,5,No,8
768,Female,37,Single,Bachelor,Other,Research & Development,Healthcare Representative,Travel_Rarely,4107,13848,124,35,15,3,Low,Very High,High,Medium,Good,Excellent,3,8,3,0,1,No,0,3,2,No,4
769,Male,40,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,8396,22217,300,74,14,26,Medium,High,High,Low,Good,Excellent,1,8,7,7,5,No,1,3,2,No,7
770,Female,26,Divorced,Below College,Medical,Research & Development,Research Scientist,Travel_Frequently,2007,25265,921,66,13,1,High,Low,Medium,High,Better,Excellent,1,5,3,1,3,No,2,5,1,No,5
771,Male,46,Divorced,Master,Medical,Research & Development,Research Director,Travel_Rarely,19627,21445,430,40,17,1,Very High,Very High,High,Very High,Better,Excellent,9,23,2,2,2,No,2,0,5,No,2
772,Female,54,Married,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,10686,8392,1082,41,11,2,Medium,High,Medium,High,Better,Excellent,6,13,4,7,0,No,1,4,3,No,9
773,Female,56,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Frequently,2942,12154,1240,63,19,9,Medium,Low,High,High,Better,Excellent,2,18,4,0,3,No,1,4,1,No,5
774,Female,36,Single,Doctor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,8858,15669,796,51,11,12,Medium,Very High,Medium,Very High,Good,Excellent,0,15,8,7,8,No,0,2,3,No,14
775,Male,55,Single,Below College,Medical,Research & Development,Manager,Non-Travel,16756,17323,444,40,15,2,Medium,High,Medium,Low,Best,Excellent,7,31,7,6,2,No,0,3,4,No,9
776,Male,43,Divorced,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,10798,5268,415,79,13,25,High,High,Medium,Very High,Better,Excellent,5,18,0,0,0,No,1,5,3,No,1
777,Female,20,Single,Bachelor,Marketing,Sales,Sales Representative,Travel_Frequently,2323,17205,769,54,14,9,Medium,Very High,High,Very High,Better,Excellent,1,2,2,0,2,Yes,0,3,1,Yes,2
778,Female,21,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,1416,17258,1334,36,13,10,Low,High,Medium,Low,Good,Excellent,1,1,0,1,0,No,0,6,1,Yes,1
779,Female,46,Divorced,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,4615,21029,1003,74,23,8,Low,Very High,Medium,Low,Better,Outstanding,8,19,13,1,7,Yes,3,2,2,No,16
780,Male,51,Married,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2461,10332,1323,34,12,4,High,Low,High,High,Best,Excellent,9,18,0,2,7,Yes,3,2,1,Yes,10
781,Male,28,Single,College,Technical Degree,Research & Development,Healthcare Representative,Non-Travel,8722,12355,1366,72,12,24,Low,Medium,Medium,Low,Good,Excellent,1,10,7,1,9,No,0,2,3,Yes,10
782,Male,26,Married,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3955,11141,192,59,16,1,Low,Low,Medium,Low,Better,Excellent,1,6,3,1,3,No,2,2,1,No,5
783,Male,30,Married,Bachelor,Other,Research & Development,Manufacturing Director,Travel_Rarely,9957,9096,1176,85,15,20,High,High,High,Low,Good,Excellent,0,7,2,0,2,No,1,1,2,No,6
784,Female,41,Married,College,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,3376,18863,509,43,13,7,High,Medium,Very High,High,Better,Excellent,1,10,6,0,8,No,0,3,1,No,10
785,Female,38,Married,Below College,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,8823,24608,330,65,18,17,Low,High,Medium,High,Good,Excellent,0,20,9,1,9,No,1,4,3,No,19
786,Male,40,Married,Master,Technical Degree,Research & Development,Healthcare Representative,Travel_Rarely,10322,26542,1492,61,20,20,Very High,Low,High,Very High,Better,Outstanding,4,14,10,11,1,No,1,6,3,No,11
787,Male,27,Married,Doctor,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,4621,5869,1277,87,19,8,Very High,Low,Low,High,Better,Excellent,1,3,2,1,2,No,3,4,1,No,3
788,Male,55,Married,Below College,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,10976,15813,1091,65,18,2,Medium,Very High,High,Medium,Better,Excellent,3,23,2,1,2,No,1,4,3,No,3
789,Female,28,Single,Bachelor,Other,Research & Development,Research Scientist,Travel_Rarely,3660,7909,857,59,13,10,Very High,High,High,High,Best,Excellent,3,10,7,1,7,No,0,4,2,No,8
790,Male,44,Married,College,Medical,Human Resources,Human Resources,Travel_Rarely,10482,2326,1376,91,14,1,Very High,Medium,Medium,Low,Better,Excellent,9,24,6,3,6,No,1,1,3,Yes,20
791,Male,33,Divorced,Bachelor,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,7119,21214,654,34,15,5,High,Very High,Medium,Very High,Better,Excellent,4,9,2,1,2,No,1,2,3,No,3
792,Male,35,Single,Bachelor,Technical Degree,Sales,Sales Executive,Travel_Rarely,9582,10333,1204,86,22,4,Low,Very High,High,Low,Better,Outstanding,0,9,7,4,7,Yes,0,2,3,Yes,8
793,Female,33,Single,Master,Medical,Research & Development,Research Scientist,Travel_Frequently,4508,3129,827,54,22,29,Medium,Low,Medium,High,Better,Outstanding,1,14,7,3,8,No,0,4,2,Yes,13
794,Male,28,Divorced,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2207,22482,895,50,16,15,Very High,Low,High,High,Good,Excellent,1,4,2,2,2,No,1,5,1,No,4
795,Male,34,Single,Below College,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,7756,22266,618,45,17,3,High,Low,High,Very High,Good,Excellent,0,7,2,0,4,No,0,1,2,No,6
796,Female,37,Divorced,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,6694,24223,309,88,14,10,High,Very High,Medium,Very High,Better,Excellent,2,8,0,0,0,Yes,3,5,2,No,1
797,Male,25,Married,Below College,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,3691,4605,1219,32,15,4,Medium,Very High,High,Very High,Best,Excellent,1,7,7,5,6,Yes,1,3,1,Yes,7
798,Male,26,Divorced,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2377,19373,1330,37,20,21,High,Low,High,High,Good,Outstanding,1,1,1,0,0,No,1,0,1,Yes,1
799,Male,33,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2313,2993,1017,55,20,25,Medium,Low,Medium,Medium,Better,Outstanding,4,5,2,2,2,Yes,0,0,1,Yes,2
800,Male,42,Married,College,Medical,Research & Development,Manager,Travel_Rarely,17665,14399,469,35,17,2,Very High,Very High,High,Low,Better,Excellent,0,23,6,13,7,No,1,3,4,No,22
801,Male,28,Divorced,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Frequently,2596,7160,1009,45,15,1,Low,Low,Medium,Medium,Better,Excellent,1,1,0,0,0,No,2,2,1,Yes,1
